id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
37758,7560,"@@ -48,7 +48,7 @@ export default function CountrySelect() {
 				timezone: countriesByCode[ newCountryCode ].defaultTimeZoneId,
 			} );
 		}
-	}, [ setValues ] );
+	}, [ setValues, value ] );
 
 	return (
 		<Select",claim,The code change in the GIT DIFF modifies the dependencies array for the useEffect hook,,,test7560_old.js,test7560_new.js
,,,claim,"Previously, it was only dependent on ""setValues""",,,,
,,,claim,"Now, it is dependent on both ""setValues"" and ""value""",,,,
,,,claim,"This suggests that the effect of the hook will now be re-run whenever either ""setValues"" or ""value"" changes.",,,,
15026,3516,"@@ -327,6 +327,16 @@ class FirefoxProfile(object):
                     rc.append(node.data)
             return ''.join(rc).strip()
 
+        def parse_manifest_json(content):
+            """"""Extracts the details from the contents of a WebExtensions `manifest.json` file.""""""
+            manifest = json.loads(content)
+            return {
+                'id': manifest['applications']['gecko']['id'],
+                'version': manifest['version'],
+                'name': manifest['version'],
+                'unpack': False,
+            }
+
         if not os.path.exists(addon_path):
             raise IOError('Add-on path does not exist: %s' % addon_path)
 ",claim,The GIT DIFF shows that a new function named `parse_manifest_json` has been added to the `FirefoxProfile` class,,,test3516_old.js,test3516_new.js
,,,claim,This function takes a string argument `content` which represents the contents of a WebExtensions `manifest.json` file,,,,
,,,claim,"The function parses the JSON content and returns a dictionary with keys 'id', 'version', 'name', and 'unpack'",,,,
,,,claim,The 'id' and 'version' values are extracted from the 'gecko' application in the manifest file,,,,
,,,claim,The 'name' value is set to the 'version' value from the manifest file,,,,
,,,claim,The 'unpack' value is set to False.,,,,
16536,9367,"@@ -22,6 +22,16 @@ options._catchError = function(error, newVNode, oldVNode) {
 	oldCatchError(error, newVNode, oldVNode);
 };
 
+const oldUnmount = options.unmount;
+options.unmount = function(vnode) {
+	/** @type {import('./internal').Component} */
+	const component = vnode._component;
+	if (component && component._onResolve) {
+		component._onResolve();
+	}
+	if (oldUnmount) oldUnmount(vnode);
+};
+
 function detachedClone(vnode, detachedParent, parentDom) {
 	if (vnode) {
 		if (vnode._component && vnode._component.__hooks) {",claim,"The code change adds a new function to the ""unmount"" option in the options object",,,test9367_old.js,test9367_new.js
,,,claim,This new function is designed to be called when a vnode is unmounted,,,,
,,,claim,"It checks if the vnode has a component and if the component has a ""_onResolve"" method",,,,
,,,claim,"If these conditions are met, it calls the ""_onResolve"" method",,,,
,,,claim,"After that, it calls the old ""unmount"" function if it exists",,,,
,,,claim,"This new function seems to be a more robust version of the old ""unmount"" function, adding error handling and resolving a potential issue where the ""_onResolve"" method was not being called.",,,,
,,,issue,"line 25, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 28, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
14171,8548,"@@ -51,7 +51,7 @@
     // @vue/component
     var commonFormattersMixin = {
         methods: {
-            formatTimeAgo: countlyCommon.formatTimeAgo,
+            formatTimeAgo: countlyCommon.formatTimeAgoText,
             formatNumber: countlyCommon.formatNumber,
             getShortNumber: countlyCommon.getShortNumber
         }",claim,"The code change in the GIT DIFF replaces the method ""formatTimeAgo"" with a new method ""formatTimeAgoText""",,,test8548_old.js,test8548_new.js
,,,claim,This suggests that the formatting of time ago has been changed to a textual format instead of the original method.,,,,
20700,8607,"@@ -473,7 +473,7 @@ describe('GridFS Stream', function () {
                     // Fail if user tries to abort an aborted stream
                     uploadStream.abort().then(null, function (error) {
                       expect(error.toString()).to.equal(
-                        'MongoDriverError: Cannot call abort() on a stream twice'
+                        'MongoGridFSStreamError: Cannot call abort() on a stream twice'
                       );
                       client.close(done);
                     });",claim,The code change in the GIT DIFF replaces an error message,,,test8607_old.js,test8607_new.js
,,,claim,The original error message was 'MongoDriverError: Cannot call abort() on a stream twice',,,,
,,,claim,The updated error message is 'MongoGridFSStreamError: Cannot call abort() on a stream twice',,,,
,,,claim,This indicates that the error has been specific to the GridFS stream and not the general MongoDriverError.,,,,
4930,566,"@@ -2,7 +2,7 @@ import { pathOr, curry, merge } from 'ramda';
 
 /**
  * Flattens a property path so that its fields are spread out into the provided object.
- *
+ * It's like {@link RA.spreadPath|spreadPath}, but preserves object under property path
  *
  * @func flattenPath
  * @memberOf RA",claim,"The code change in the GIT DIFF adds a new line of comment to the function ""flattenPath""",,,test566_old.js,test566_new.js
,,,claim,"The comment explains that the function is similar to ""spreadPath"", but it preserves the object under the property path",,,,
,,,claim,"This suggests that the function is a variation of the ""spreadPath"" function that maintains the structure of the object under the property path.",,,,
13380,2455,"@@ -13,7 +13,8 @@ var reportsInstance = {},
     localize = require('../../../api/utils/localization.js'),
     common = require('../../../api/utils/common.js'),
     log = require('../../../api/utils/log')('reports:reports'),
-    versionInfo = require('../../../frontend/express/version.info');
+    versionInfo = require('../../../frontend/express/version.info'),
+    offlineMode = plugins.getConfig(""api"").offline_mode;
 
 versionInfo.page = (!versionInfo.title) ? ""https://count.ly"" : null;
 versionInfo.title = versionInfo.title || ""Countly"";",claim,"The code change in the GIT DIFF adds a new line to require the 'offline_mode' configuration from the ""api"" plugin",,,test2455_old.js,test2455_new.js
,,,claim,"This suggests that the code now has an additional dependency on the offline mode configuration, which was not previously required.",,,,
13587,9144,"@@ -1656,7 +1656,7 @@ class TargetLocator {
   window(nameOrHandle) {
     return this.driver_.schedule(
         new command.Command(command.Name.SWITCH_TO_WINDOW).
-            setParameter('name', nameOrHandle),
+            setParameter('handle', nameOrHandle),
         'WebDriver.switchTo().window(' + nameOrHandle + ')');
   }
 ",claim,"The code change in the GIT DIFF modifies a line of code in the ""window"" function of the ""TargetLocator"" class",,,test9144_old.js,test9144_new.js
,,,claim,"The parameter of the ""setParameter"" function has been changed from ""name"" to ""handle""",,,,
,,,claim,This suggests a change in the way the window is being referenced or handled in the code.,,,,
