,id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
0,37758,7560,"@@ -48,7 +48,7 @@ export default function CountrySelect() {
 				timezone: countriesByCode[ newCountryCode ].defaultTimeZoneId,
 			} );
 		}
-	}, [ setValues ] );
+	}, [ setValues, value ] );
 
 	return (
 		<Select",claim,The code change in the GIT DIFF modifies the dependencies array for the useEffect hook,,,test7560_old.js,test7560_new.js
1,,,,claim,"Previously, it was only dependent on ""setValues""",,,,
2,,,,claim,"Now, it is dependent on both ""setValues"" and ""value""",,,,
3,,,,claim,"This suggests that the effect of the hook will now be re-run whenever either ""setValues"" or ""value"" changes.",,,,
4,15026,3516,"@@ -327,6 +327,16 @@ class FirefoxProfile(object):
                     rc.append(node.data)
             return ''.join(rc).strip()
 
+        def parse_manifest_json(content):
+            """"""Extracts the details from the contents of a WebExtensions `manifest.json` file.""""""
+            manifest = json.loads(content)
+            return {
+                'id': manifest['applications']['gecko']['id'],
+                'version': manifest['version'],
+                'name': manifest['version'],
+                'unpack': False,
+            }
+
         if not os.path.exists(addon_path):
             raise IOError('Add-on path does not exist: %s' % addon_path)
 ",claim,The GIT DIFF shows that a new function named `parse_manifest_json` has been added to the `FirefoxProfile` class,,,test3516_old.js,test3516_new.js
5,,,,claim,This function takes a string argument `content` which represents the contents of a WebExtensions `manifest.json` file,,,,
6,,,,claim,"The function parses the JSON content and returns a dictionary with keys 'id', 'version', 'name', and 'unpack'",,,,
7,,,,claim,The 'id' and 'version' values are extracted from the 'gecko' application in the manifest file,,,,
8,,,,claim,The 'name' value is set to the 'version' value from the manifest file,,,,
9,,,,claim,The 'unpack' value is set to False.,,,,
10,16536,9367,"@@ -22,6 +22,16 @@ options._catchError = function(error, newVNode, oldVNode) {
 	oldCatchError(error, newVNode, oldVNode);
 };
 
+const oldUnmount = options.unmount;
+options.unmount = function(vnode) {
+	/** @type {import('./internal').Component} */
+	const component = vnode._component;
+	if (component && component._onResolve) {
+		component._onResolve();
+	}
+	if (oldUnmount) oldUnmount(vnode);
+};
+
 function detachedClone(vnode, detachedParent, parentDom) {
 	if (vnode) {
 		if (vnode._component && vnode._component.__hooks) {",claim,"The code change adds a new function to the ""unmount"" option in the options object",,,test9367_old.js,test9367_new.js
11,,,,claim,This new function is designed to be called when a vnode is unmounted,,,,
12,,,,claim,"It checks if the vnode has a component and if the component has a ""_onResolve"" method",,,,
13,,,,claim,"If these conditions are met, it calls the ""_onResolve"" method",,,,
14,,,,claim,"After that, it calls the old ""unmount"" function if it exists",,,,
15,,,,claim,"This new function seems to be a more robust version of the old ""unmount"" function, adding error handling and resolving a potential issue where the ""_onResolve"" method was not being called.",,,,
16,,,,issue,"line 25, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
17,,,,issue,"line 28, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
18,14171,8548,"@@ -51,7 +51,7 @@
     // @vue/component
     var commonFormattersMixin = {
         methods: {
-            formatTimeAgo: countlyCommon.formatTimeAgo,
+            formatTimeAgo: countlyCommon.formatTimeAgoText,
             formatNumber: countlyCommon.formatNumber,
             getShortNumber: countlyCommon.getShortNumber
         }",claim,"The code change in the GIT DIFF replaces the method ""formatTimeAgo"" with a new method ""formatTimeAgoText""",,,test8548_old.js,test8548_new.js
19,,,,claim,This suggests that the formatting of time ago has been changed to a textual format instead of the original method.,,,,
20,20700,8607,"@@ -473,7 +473,7 @@ describe('GridFS Stream', function () {
                     // Fail if user tries to abort an aborted stream
                     uploadStream.abort().then(null, function (error) {
                       expect(error.toString()).to.equal(
-                        'MongoDriverError: Cannot call abort() on a stream twice'
+                        'MongoGridFSStreamError: Cannot call abort() on a stream twice'
                       );
                       client.close(done);
                     });",claim,The code change in the GIT DIFF replaces an error message,,,test8607_old.js,test8607_new.js
21,,,,claim,The original error message was 'MongoDriverError: Cannot call abort() on a stream twice',,,,
