,id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
0,15764,7988,"@@ -204,7 +204,7 @@ class Renderer(Exporter):
             if (((len(plot) == 1 and not plot.dynamic)
                 or (len(plot) > 1 and self.holomap is None) or
                 (plot.dynamic and len(plot.keys[0]) == 0)) or
-                not unbound_dimensions(plot.streams, plot.dimensions)):
+                not unbound_dimensions(plot.streams, plot.dimensions, False)):
                 fmt = fig_formats[0] if self.fig=='auto' else self.fig
             else:
                 fmt = holomap_formats[0] if self.holomap=='auto' else self.holomap",claim,The code change in the GIT DIFF modifies a line of code in the Renderer class,,,test7988_old.py,test7988_new.py
1,,,,claim,"The function ""unbound_dimensions"" was originally called with two parameters: ""plot.streams"" and ""plot.dimensions""",,,,
2,,,,claim,The updated line of code now calls the same function with an additional parameter: False,,,,
3,,,,claim,"This suggests that the function ""unbound_dimensions"" has been updated to handle a third parameter, which is set to False in this context.",,,,
4,,,,issue,"Shotgun smell detected with 1 classes with too many external fuctions and class with most external function calls, `Renderer` having 105 external function calls",,,,
5,,,,issue,Class cohesion smell detected with 1 out of 1 classes having cohesion < 30%,,,,
6,,,,issue,Code complexity smell detected with 3 of 18 code blocks having cyclomatic complexity of rank C or worse (rank C is moderate to slighly complex with cyclomatic complexity between 11 and 20).,,,,
7,12012,16,"@@ -419,7 +419,10 @@ class S3KeyTest(unittest.TestCase):
         remote_metadata = check._get_remote_metadata()
 
         # TODO: investigate whether encoding ' ' as '%20' makes sense
-        self.assertEqual(check.cache_control, 'public,%20max-age=500')
+        self.assertIn(
+            check.cache_control,
+            ('public,%20max-age=500', 'public, max-age=500')
+        )
         self.assertEqual(remote_metadata['cache-control'], 'public,%20max-age=500')
         self.assertEqual(check.get_metadata('test-plus'), 'A plus (+)')
         self.assertEqual(check.content_disposition, 'filename=Sch%C3%B6ne%20Zeit.txt')",claim,The code change in the GIT DIFF replaces a single line of code with a multiple line of code,,,test16_old.py,test16_new.py
8,,,,claim,"The new code uses the assertIn method to check if the cache control value is either 'public,%20max-age=500' or 'public, max-age=500'",,,,
9,,,,claim,This change suggests that the code is now allowing for variations in the cache control value.,,,,
10,,,,issue,"Shotgun smell detected with 3 classes with too many external fuctions and class with most external function calls, `S3KeyTest` having 256 external function calls",,,,
11,,,,issue,Class cohesion smell detected with 1 out of 3 classes having cohesion < 30%,,,,
12,16852,8942,"@@ -39,14 +39,15 @@ MODULES_TO_CHECK = [
 MODULES_NAMES = [m[1] for m in MODULES_TO_CHECK]
 
 
-@pytest.mark.primer_stdlib
+@pytest.mark.primer
 @pytest.mark.parametrize(
     (""test_module_location"", ""test_module_name""), MODULES_TO_CHECK, ids=MODULES_NAMES
 )
-def test_lib_module_no_crash(
+def test_primer_stdlib_no_crash(
     test_module_location: str, test_module_name: str, capsys: CaptureFixture
 ) -> None:
     """"""Test that pylint does not produces any crashes or fatal errors on stdlib modules""""""
+    __tracebackhide__ = True  # pylint: disable=unused-variable
     os.chdir(test_module_location)
     with _patch_stdout(io.StringIO()):
         try:",claim,The code changes in this GIT DIFF involve renaming a test function and adding a new line to disable a traceback,,,test8942_old.py,test8942_new.py
13,,,,claim,"The test function ""test_lib_module_no_crash"" has been renamed to ""test_primer_stdlib_no_crash""",,,,
14,,,,claim,"Additionally, a new line has been added to disable the traceback for this test function",,,,
15,,,,claim,"This is done by setting the variable ""__tracebackhide__"" to True, which is typically used to hide tracebacks in Python",,,,
16,,,,claim,"However, this change might have been made to suppress the traceback of a specific test function, as indicated by the new name ""test_primer_stdlib_no_crash"".",,,,
