index,id,Unnamed: 0,patch,msg,enhanced_comment
8559,11540,0,"@@ -100,6 +100,13 @@ class CppGenerator : public BaseGenerator {
 
     assert(!cur_name_space_);
 
+    code_ += ""#if defined(_MSC_VER)"";
+    code_ += ""#define NOEXCEPT"";
+    code_ += ""#else"";
+    code_ += ""#define NOEXCEPT noexcept"";
+    code_ += ""#endif"";
+    code_ += """";
+
     // Generate forward declarations for all structs/tables, since they may
     // have circular references.
     for (auto it = parser_.structs_.vec.begin();","rather than generate code for this every time, stick it in `flatbuffers.h` (and call it `FLATBUFFERS_NOEXCEPT` to avoid clashes).","Refactor the macro definition to include platform-specific conditional compilation. Replace the hardcoded `noexcept` keyword with a conditional macro that defines `NOEXCEPT` as `noexcept` on non-Microsoft Visual C++ (MSVC) compilers and an empty string on MSVC, thus avoiding clashes with existing definitions in `flatbuffers.h`."
1632,13139,1,"@@ -46,7 +46,9 @@ public class HTMLTestResults {
   private final HTMLSuiteResult suite;
 
   private static final String HEADER = ""<html>\n"" +
-      ""<head><style type='text/css'>\n"" +
+      ""<head>\n""+
+      ""<meta charset=\""UTF-8\"">\n""+
+      ""<style type='text/css'>\n"" +
       ""body, table {\n"" +
       ""    font-family: Verdana, Arial, sans-serif;\n"" +
       ""    font-size: 12;\n"" +","Is there a recommended quote style for attributes? I see single and double here, double further down.",Does the code include a meta charset declaration in the header for UTF-8 encoding?
312,36178,2,"@@ -94,7 +94,7 @@ public abstract class Analyzer implements Closeable {
    * Create a new Analyzer, reusing the same set of components per-thread
    * across calls to {@link #tokenStream(String, Reader)}. 
    */
-  public Analyzer() {
+  protected Analyzer() {
     this(GLOBAL_REUSE_STRATEGY);
   }
 ",Can you not change those scopes in public API classes? This applies here and in other places -- protected changed to package-scope for source is not really an API-compatible change.,"```java
public abstract class Analyzer implements Closeable {
  /**
   * Create a new Analyzer, reusing the same set of components per-thread across calls to {@link #tokenStream(String, Reader)}.
   */
  protected Analyzer() {
    this(GLOBAL_REUSE_STRATEGY);
  }
}
```"
9724,25866,3,"@@ -25,7 +25,8 @@ public abstract class BftExtraDataCodec {
   protected enum EncodingType {
     ALL,
     EXCLUDE_COMMIT_SEALS,
-    EXCLUDE_COMMIT_SEALS_AND_ROUND_NUMBER
+    EXCLUDE_COMMIT_SEALS_AND_ROUND_NUMBER,
+    EXCLUDE_CMS // TODO-lucas How can we achieve this w/o changing the BftExtraDataCodec base class
   }
 
   private static final Logger LOG = LogManager.getLogger();",possibly extending EncodingType enum?,"Consider adding a new encoding type, EXCLUDE_CMS, to the EncodingType enum."
3861,32207,4,"@@ -70,6 +70,9 @@ import org.apache.solr.core.CoreContainer;
 import org.apache.solr.handler.admin.CollectionsHandler;
 import org.apache.solr.handler.component.HttpShardHandler;
 import org.apache.solr.logging.MDCLoggingContext;
+import org.apache.solr.store.blob.process.BlobDeleteManager;
+import org.apache.solr.store.blob.process.BlobDeleteProcessor;
+import org.apache.solr.store.shared.SharedStoreManager;
 import org.apache.solr.store.shared.metadata.SharedShardMetadataController;
 import org.apache.solr.update.UpdateShardHandler;
 import org.apache.zookeeper.CreateMode;",I only see new imports. Is there any functional change in this file?,The code patch introduces several new imports related to blob processing and shared store management. It is unclear whether these changes introduce new functionality or merely refactor existing logic. Further context is needed to assess the impact of these additions on the overall system behavior.
3449,14946,5,"@@ -48,8 +48,16 @@ import javax.net.ssl.SSLSocketFactory;
  */
 public class SalesforceTLSSocketFactory extends SSLSocketFactory {
 
+    private static SalesforceTLSSocketFactory INSTANCE;
     private SSLSocketFactory ssLSocketFactory;
 
+    public static SalesforceTLSSocketFactory getInstance() throws KeyManagementException, NoSuchAlgorithmException {
+        if (INSTANCE == null) {
+            INSTANCE = new SalesforceTLSSocketFactory();
+        }
+        return INSTANCE;
+    }
+
     public SalesforceTLSSocketFactory() throws KeyManagementException, NoSuchAlgorithmException {
         final SSLContext context = SSLContext.getInstance(""TLS"");
         context.init(null, null, null);",This should be made private.,The `getInstance` method should be made private to enforce the singleton pattern.
3149,11455,6,"@@ -39,6 +39,7 @@ public class ScriptDTO {
     private final Boolean free;
     private final Boolean requiresPatch;
     private final String script;
+    private final URI icon;
 
     private ScriptDTO(Builder builder) {
         this.scriptName = builder.scriptName;",Can we give this field a more descriptive name? When I use a variable named `icon` I normally expect an `Image` object.,"Consider renaming the `icon` field to `scriptIconUrl` for better clarity, as it is currently expected to hold a URI rather than an image object."
1995,39643,7,"@@ -312,6 +312,7 @@ class DeleteFileIndex {
   static class Builder {
     private final FileIO io;
     private final Set<ManifestFile> deleteManifests;
+    private long minSequenceNumber = 0L;
     private Map<Integer, PartitionSpec> specsById = null;
     private Expression dataFilter = Expressions.alwaysTrue();
     private Expression partitionFilter = Expressions.alwaysTrue();","I remember the sequence number 0 is kept for the data files for iceberg v1, so in theory the sequence number from delete files should start from 1. So setting it to 0 as the default value sounds correct.","The `minSequenceNumber` should be set to 1 by default to ensure that sequence numbers in delete files align with Iceberg v1 conventions, where sequence number 0 is reserved for data files."
9644,15148,8,"@@ -24,4 +24,7 @@ final class ChromeDriverCommand {
   private ChromeDriverCommand() {}
 
   static final String LAUNCH_APP = ""launchApp"";
+  static final String SEND_COMMANDS_FOR_DOWNLOAD_CHROME_HEAD_LESS
+      = ""sendCommandForDownloadChromeHeadLess"";
+
 }","Nit: `Headless` is one word, not two, and so doesn't need camelcasing in this way.",Consider renaming `SEND_COMMANDS_FOR_DOWNLOAD_CHROME_HEAD_LESS` to `SEND_COMMANDS_FOR_DOWNLOAD_CHROME_HEADLESS` to maintain consistency with the naming convention used for other constants.
1478,20250,9,"@@ -12,6 +12,7 @@ import java.nio.charset.Charset;
 import java.security.MessageDigest;
 
 public class FastBlurTransformation extends BitmapTransformation {
+    private static final String ID=""de.danoeh.antennapod.core.glide.FastBlurTransformation"";
 
     private static final String TAG = FastBlurTransformation.class.getSimpleName();
 ",Please add spaces before and after the equals sign,Add spaces before and after the equals sign in the ID string.
